protein,complete_train_p_value,total_freq,p-value_orig_vs_random,original,original,original,original,original,original,original,original,permuted,permuted,permuted,permuted,permuted,permuted,permuted,permuted
P02647_APOA1        ,0.14148050603819    ,1047                ,0.000818486464347818,9                   ,9                   ,380                 ,1                   ,47                  ,103                 ,307                 ,191                 ,0                   ,0                   ,0                   ,4                   ,0                   ,0                   ,0                   ,0                   
P02671_FGA          ,0.0922382197698244  ,1756                ,0.0152562869477253  ,152                 ,12                  ,294                 ,60                  ,215                 ,710                 ,38                  ,275                 ,0                   ,0                   ,0                   ,782                 ,0                   ,15                  ,0                   ,0                   
P02675_FGB          ,0.00317331477425142 ,23678               ,0.000477947656000981,3136                ,2118                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,0                   ,0                   ,0                   ,421                 ,0                   ,54                  ,0                   ,0                   
P02750_LRG1         ,0.101345243244608   ,1800                ,0.144417002268169   ,0                   ,250                 ,548                 ,48                  ,0                   ,48                  ,0                   ,906                 ,1                   ,0                   ,0                   ,64                  ,2                   ,0                   ,0                   ,0                   
P02753_RBP4         ,0.29337397309306    ,115                 ,0.80927967977986    ,0                   ,0                   ,95                  ,8                   ,12                  ,0                   ,0                   ,0                   ,56                  ,0                   ,0                   ,26                  ,0                   ,360                 ,0                   ,0                   
P02760_AMBP         ,0.0239812460237722  ,10777               ,0.00090685675099235 ,951                 ,683                 ,2494                ,923                 ,1636                ,3076                ,552                 ,462                 ,0                   ,13                  ,71                  ,63                  ,0                   ,242                 ,18                  ,0                   
P02763_ORM1         ,0.0503943107767658  ,6568                ,0.00211752347701703 ,67                  ,100                 ,959                 ,132                 ,1703                ,758                 ,2485                ,364                 ,0                   ,0                   ,0                   ,54                  ,0                   ,250                 ,0                   ,0                   
P02787_TF           ,0.0174773157238322  ,12304               ,0.000785338146016317,1252                ,1887                ,3136                ,957                 ,1094                ,861                 ,939                 ,2178                ,202                 ,12                  ,0                   ,56                  ,0                   ,0                   ,0                   ,0                   
P02790_HPX          ,0.0224783923153199  ,11194               ,0.000681956324259307,470                 ,868                 ,2785                ,672                 ,1550                ,2580                ,1062                ,1207                ,21                  ,0                   ,0                   ,35                  ,0                   ,0                   ,0                   ,0                   
P02814_SMR3B        ,0.350714819911734   ,499                 ,0.117632463019883   ,2                   ,0                   ,0                   ,112                 ,385                 ,0                   ,0                   ,0                   ,2                   ,351                 ,464                 ,58                  ,0                   ,104                 ,11                  ,4                   
P03973_SLPI         ,0.196334462103726   ,1253                ,0.0808578101401583  ,98                  ,1                   ,322                 ,325                 ,302                 ,35                  ,167                 ,3                   ,933                 ,0                   ,0                   ,6                   ,4                   ,0                   ,57                  ,0                   
P04004_VTN          ,0.0707229760329257  ,4778                ,0.000785338146016317,148                 ,420                 ,63                  ,326                 ,2563                ,517                 ,317                 ,424                 ,14                  ,0                   ,0                   ,16                  ,0                   ,0                   ,10                  ,0                   
P04040_CAT          ,0.776195095015983   ,0                   ,0.381573905705021   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,170                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
P04075_2_ALDOA      ,0.563674393439929   ,9                   ,0.0402162497314597  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,9                   ,0                   ,204                 ,0                   ,0                   ,0                   ,2                   ,29                  ,30                  ,24                  
P04080_CSTB         ,0.16668076191825    ,1823                ,0.178258851330843   ,238                 ,0                   ,0                   ,680                 ,0                   ,212                 ,220                 ,473                 ,0                   ,2                   ,0                   ,65                  ,0                   ,295                 ,0                   ,0                   
P04083_ANXA1        ,0.0607809118290958  ,4058                ,0.000681956324259307,564                 ,65                  ,338                 ,1555                ,292                 ,872                 ,201                 ,171                 ,0                   ,0                   ,0                   ,0                   ,8                   ,0                   ,16                  ,0                   
P04196_HRG          ,0.0505468405817182  ,6040                ,0.0090090961446316  ,342                 ,140                 ,298                 ,400                 ,1485                ,1836                ,815                 ,724                 ,0                   ,112                 ,0                   ,1047                ,0                   ,172                 ,0                   ,0                   
P04209              ,0.407167458717722   ,110                 ,0.334151659119493   ,0                   ,110                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,28                  ,6                   ,1434                ,0                   
P04217_A1BG         ,0.0580099921446775  ,2999                ,0.00146733786443442 ,338                 ,111                 ,1580                ,434                 ,242                 ,76                  ,14                  ,204                 ,106                 ,0                   ,0                   ,0                   ,0                   ,0                   ,3                   ,0                   
P04264_KRT1         ,0.445224655895719   ,174                 ,1                   ,0                   ,145                 ,5                   ,11                  ,3                   ,0                   ,10                  ,0                   ,14                  ,5                   ,0                   ,0                   ,0                   ,0                   ,467                 ,56                  
P04280_PRB1         ,0.34521987761264    ,257                 ,0.957904900239295   ,18                  ,6                   ,2                   ,191                 ,31                  ,2                   ,7                   ,0                   ,4                   ,48                  ,4                   ,12                  ,2                   ,0                   ,58                  ,6                   
P04406_GAPDH        ,0.261131604672041   ,150                 ,0.442462570746514   ,1                   ,67                  ,2                   ,43                  ,4                   ,0                   ,33                  ,0                   ,0                   ,0                   ,43                  ,5                   ,305                 ,0                   ,0                   ,0                   
P04745_AMY1A        ,0.0918813005715282  ,2601                ,0.00697685514908362 ,288                 ,145                 ,545                 ,68                  ,838                 ,527                 ,159                 ,31                  ,0                   ,40                  ,0                   ,0                   ,0                   ,6                   ,357                 ,16                  
P04792_HSPB1        ,0.0235303531497612  ,11039               ,0.000681956324259307,786                 ,776                 ,1004                ,1497                ,855                 ,2866                ,2744                ,511                 ,176                 ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   
P04899_4_GNAI2      ,0.597537272529674   ,43                  ,0.180008443727484   ,0                   ,0                   ,43                  ,0                   ,0                   ,0                   ,0                   ,0                   ,12                  ,541                 ,0                   ,2                   ,0                   ,0                   ,33                  ,0                   
P05089_2_ARG1       ,0.214554682042808   ,1314                ,0.787481901270726   ,164                 ,8                   ,0                   ,55                  ,22                  ,6                   ,1059                ,0                   ,26                  ,35                  ,2094                ,0                   ,240                 ,0                   ,0                   ,0                   
P05109_S100A8       ,0.46158003555445    ,22                  ,1                   ,13                  ,0                   ,9                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,9                   ,0                   ,0                   ,116                 
P05164_3_MPO        ,0.0740119672467437  ,3185                ,0.0136354773848262  ,549                 ,322                 ,142                 ,1099                ,899                 ,123                 ,51                  ,0                   ,2                   ,0                   ,0                   ,484                 ,0                   ,0                   ,0                   ,0                   
P05386_RPLP1        ,0.0217535863963467  ,10860               ,0.000778133468635348,1852                ,2576                ,507                 ,945                 ,2709                ,430                 ,657                 ,1184                ,4                   ,0                   ,0                   ,14                  ,0                   ,0                   ,14                  ,0                   
P06396_GSN          ,0.185746648536156   ,1120                ,0.621768741264933   ,393                 ,2                   ,0                   ,712                 ,0                   ,9                   ,4                   ,0                   ,82                  ,3                   ,0                   ,50                  ,0                   ,0                   ,6                   ,0                   
P06702_S100A9       ,0.323863290767769   ,109                 ,0.227066373365403   ,54                  ,0                   ,34                  ,0                   ,0                   ,0                   ,20                  ,1                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   ,8                   
P06733_ENO1         ,0.147828347509876   ,1163                ,0.149811867811616   ,161                 ,8                   ,81                  ,476                 ,0                   ,4                   ,425                 ,8                   ,61                  ,14                  ,0                   ,66                  ,0                   ,0                   ,32                  ,0                   
P06737_PYGL         ,0.110288818685377   ,1915                ,0.305641025421362   ,44                  ,706                 ,0                   ,319                 ,76                  ,764                 ,6                   ,0                   ,2339                ,286                 ,4                   ,0                   ,0                   ,0                   ,0                   ,19                  
A0A0A0MTS2_GPI      ,0.0923120354530792  ,1897                ,0.00178722257926604 ,110                 ,10                  ,6                   ,1370                ,147                 ,104                 ,61                  ,89                  ,44                  ,0                   ,0                   ,4                   ,1                   ,0                   ,1                   ,0                   
P06870_KLK1         ,0.0208873073348839  ,11062               ,0.000785338146016317,3056                ,680                 ,1727                ,734                 ,2081                ,602                 ,1964                ,218                 ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   ,209                 ,28                  
P07108_6_DBI        ,0.316008333773285   ,669                 ,0.822333756389101   ,0                   ,0                   ,0                   ,0                   ,1                   ,6                   ,382                 ,280                 ,0                   ,1                   ,0                   ,85                  ,3                   ,35                  ,0                   ,0                   
P07195_LDHB         ,0.0390286197586237  ,7868                ,0.000785338146016317,540                 ,826                 ,735                 ,1354                ,3128                ,399                 ,617                 ,269                 ,0                   ,0                   ,0                   ,0                   ,30                  ,2                   ,0                   ,25                  
P07237_P4HB         ,0.112334750469285   ,2825                ,0.0172872158825007  ,144                 ,1291                ,882                 ,236                 ,98                  ,13                  ,147                 ,14                  ,0                   ,0                   ,0                   ,911                 ,42                  ,3                   ,1                   ,0                   
P07339_CTSD         ,0.00128991757799133 ,24304               ,0.000612376767377892,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,146                 ,0                   ,0                   ,1700                ,6                   ,1397                ,0                   ,0                   
P07737_PFN1         ,0.263634930474712   ,285                 ,1                   ,85                  ,0                   ,0                   ,163                 ,5                   ,0                   ,32                  ,0                   ,1879                ,0                   ,0                   ,190                 ,2                   ,0                   ,0                   ,2                   
P07858_CTSB         ,0.162264881687158   ,1485                ,0.371677446913074   ,19                  ,16                  ,559                 ,21                  ,614                 ,232                 ,23                  ,1                   ,0                   ,0                   ,20                  ,8                   ,2                   ,110                 ,844                 ,154                 
P07900_2_HSP90AA1   ,0.0660416578206415  ,4767                ,0.00114874154555318 ,1831                ,353                 ,188                 ,474                 ,1274                ,437                 ,161                 ,49                  ,23                  ,4                   ,0                   ,0                   ,0                   ,0                   ,0                   ,131                 
P07996_THBS1        ,0.229550970689432   ,1035                ,0.410563990468254   ,200                 ,0                   ,6                   ,807                 ,6                   ,3                   ,0                   ,13                  ,3127                ,0                   ,0                   ,0                   ,87                  ,0                   ,0                   ,8                   
P08107_HSPA1A       ,0.424769551732138   ,205                 ,0.506864838232507   ,145                 ,0                   ,0                   ,60                  ,0                   ,0                   ,0                   ,0                   ,44                  ,283                 ,0                   ,0                   ,7                   ,0                   ,18                  ,0                   
P08238_HSP90AB1     ,0.0170866282031246  ,14828               ,0.00085989691015073 ,2719                ,1187                ,619                 ,1029                ,2890                ,2639                ,2051                ,1694                ,30                  ,47                  ,55                  ,0                   ,0                   ,0                   ,0                   ,49                  
P08246_ELANE        ,0.528572110904846   ,7                   ,0.334151659119493   ,0                   ,0                   ,0                   ,0                   ,7                   ,0                   ,0                   ,0                   ,0                   ,4                   ,0                   ,1                   ,0                   ,0                   ,0                   ,11                  
P08311_CTSG         ,0.0702337280277973  ,3936                ,0.0229215547738114  ,1473                ,270                 ,567                 ,399                 ,381                 ,799                 ,29                  ,18                  ,728                 ,198                 ,0                   ,0                   ,0                   ,16                  ,0                   ,246                 
P08571_CD14         ,0.706288448523113   ,55                  ,0.945001830339073   ,0                   ,51                  ,4                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,13                  ,0                   ,0                   ,0                   
P08603_CFH          ,0.151321633065118   ,1433                ,0.00302288362623666 ,22                  ,87                  ,167                 ,6                   ,154                 ,741                 ,160                 ,96                  ,0                   ,0                   ,0                   ,80                  ,0                   ,66                  ,0                   ,0                   
P09211_GSTP1        ,0.125208271211084   ,1830                ,0.243791898781357   ,14                  ,0                   ,685                 ,204                 ,1                   ,2                   ,880                 ,44                  ,2                   ,6                   ,0                   ,0                   ,30                  ,346                 ,14                  ,0                   
P09228_CST2         ,0.00126532440915673 ,24304               ,0.000553534765668591,3136                ,2744                ,3136                ,3136                ,3136                ,3136                ,2744                ,3136                ,37                  ,0                   ,0                   ,62                  ,0                   ,496                 ,0                   ,0                   
P09960_LTA4H        ,0.0854795760244421  ,3434                ,0.00824416768055179 ,441                 ,2                   ,99                  ,2128                ,383                 ,367                 ,8                   ,6                   ,427                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3                   
P0C0S8_HIST1H2AG    ,0.62886857983967    ,0                   ,0.0324742023051656  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   ,0                   ,219                 ,110                 ,7                   ,0                   ,0                   ,0                   
P10412_HIST1H1E     ,0.913848076103797   ,0                   ,0.170903520230797   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,18                  ,39                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
P10599_TXN          ,0.738866454843742   ,1                   ,0.096561411724216   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,52                  ,0                   ,0                   ,1                   ,0                   ,116                 ,6                   
P10909_2_CLU        ,0.126542016455894   ,3110                ,0.00238066871807138 ,237                 ,343                 ,145                 ,396                 ,407                 ,164                 ,1305                ,113                 ,92                  ,0                   ,0                   ,0                   ,6                   ,0                   ,176                 ,0                   
P11021_HSPA5        ,0.449202403115397   ,134                 ,0.195528201885755   ,0                   ,77                  ,1                   ,6                   ,1                   ,1                   ,48                  ,0                   ,0                   ,90                  ,0                   ,0                   ,0                   ,7                   ,0                   ,0                   
P11142_HSPA8        ,0.365249645264395   ,638                 ,0.406552852098087   ,206                 ,28                  ,0                   ,0                   ,404                 ,0                   ,0                   ,0                   ,18                  ,0                   ,0                   ,0                   ,6                   ,0                   ,0                   ,0                   
P11215_2_ITGAM      ,0.148005347553949   ,1672                ,0.0307038580733802  ,585                 ,4                   ,96                  ,114                 ,238                 ,494                 ,85                  ,56                  ,1666                ,15                  ,0                   ,0                   ,1                   ,18                  ,0                   ,18                  
P12273_PIP          ,0.0401740014942486  ,6935                ,0.00953795235813348 ,801                 ,191                 ,1905                ,1375                ,1774                ,224                 ,544                 ,121                 ,803                 ,0                   ,0                   ,218                 ,0                   ,4                   ,61                  ,0                   
P12429_ANXA3        ,0.00449666657103808 ,21580               ,0.000675416378699592,2718                ,2696                ,2987                ,3046                ,3136                ,3136                ,1403                ,2458                ,1320                ,0                   ,0                   ,0                   ,0                   ,36                  ,0                   ,0                   
P12814_3_ACTN1      ,0.0348244539976831  ,8507                ,0.00472939731665766 ,1982                ,1394                ,678                 ,2070                ,1382                ,220                 ,119                 ,662                 ,0                   ,0                   ,0                   ,996                 ,0                   ,0                   ,13                  ,165                 
P13688_CEACAM1      ,0.170672871511491   ,1608                ,0.0458844688820986  ,820                 ,662                 ,10                  ,26                  ,18                  ,4                   ,68                  ,0                   ,2                   ,2744                ,0                   ,0                   ,4                   ,0                   ,0                   ,0                   
P13796_LCP1         ,0.648641358648123   ,0                   ,0.0324742023051656  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,544                 ,34                  ,0                   ,0                   ,188                 ,0                   ,0                   ,12                  
P14174_MIF          ,0.103301534776846   ,1718                ,0.138863797671684   ,0                   ,694                 ,24                  ,400                 ,552                 ,0                   ,44                  ,4                   ,1528                ,0                   ,0                   ,0                   ,18                  ,1                   ,0                   ,0                   
P14550_AKR1A1       ,0.633551804504459   ,165                 ,0.406552852098087   ,0                   ,0                   ,0                   ,3                   ,0                   ,0                   ,162                 ,0                   ,0                   ,426                 ,0                   ,220                 ,0                   ,0                   ,0                   ,1342                
P14618_PKM2         ,0.501662320414232   ,80                  ,0.629301099405578   ,0                   ,53                  ,0                   ,0                   ,11                  ,0                   ,16                  ,0                   ,1763                ,1140                ,0                   ,0                   ,0                   ,0                   ,0                   ,997                 
P14780_MMP9         ,0.352604949051021   ,257                 ,0.602524352361297   ,140                 ,0                   ,0                   ,107                 ,7                   ,0                   ,3                   ,0                   ,159                 ,1                   ,4                   ,0                   ,0                   ,0                   ,0                   ,0                   
P16401_HIST1H1B     ,0.990966688706213   ,0                   ,0.381573905705021   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   
P16402_HIST1H1D     ,0.678262145596783   ,0                   ,0.0127769927806436  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,6                   ,55                  ,8                   ,12                  ,1494                ,0                   ,0                   
P16403_HIST1H1C     ,0.903563847831124   ,0                   ,NaN                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
P17174_GOT1         ,0.0798707672000253  ,4565                ,0.00824416768055179 ,117                 ,67                  ,451                 ,405                 ,161                 ,380                 ,2744                ,240                 ,0                   ,0                   ,0                   ,0                   ,2                   ,804                 ,0                   ,0                   
P17931_LGALS3       ,0.434388347446667   ,195                 ,0.091125993228696   ,0                   ,20                  ,2                   ,126                 ,15                  ,0                   ,32                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,71                  ,0                   ,0                   
P18206_VCL          ,0.0376765020767936  ,8033                ,0.023845234869951   ,1685                ,785                 ,461                 ,662                 ,574                 ,548                 ,2744                ,574                 ,416                 ,185                 ,10                  ,0                   ,801                 ,649                 ,331                 ,150                 
P18510_2_IL1RN      ,0.0275661716680329  ,9742                ,0.0122413863708279  ,796                 ,225                 ,559                 ,650                 ,1430                ,3053                ,1554                ,1475                ,0                   ,0                   ,0                   ,416                 ,0                   ,2269                ,58                  ,0                   
P18669_PGAM1        ,0.125467057953777   ,1456                ,0.0640930207850402  ,231                 ,91                  ,36                  ,735                 ,279                 ,23                  ,51                  ,10                  ,1525                ,0                   ,0                   ,70                  ,0                   ,0                   ,4                   ,24                  
P19961_AMY2B        ,0.00367883181261964 ,23297               ,0.000898912788114092,2950                ,2744                ,3136                ,2825                ,2732                ,3128                ,2744                ,3038                ,0                   ,4                   ,0                   ,268                 ,16                  ,90                  ,2                   ,0                   
P20061_TCN1         ,0.568478566465288   ,256                 ,0.0704615426471519  ,3                   ,0                   ,0                   ,0                   ,252                 ,0                   ,1                   ,0                   ,183                 ,0                   ,29                  ,0                   ,47                  ,14                  ,887                 ,1865                
P20160_AZU1         ,0.307563674814734   ,176                 ,0.0127769927806436  ,15                  ,0                   ,1                   ,76                  ,13                  ,71                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
P20618_PSMB1        ,0.381864821639063   ,49                  ,0.110465130411439   ,0                   ,0                   ,0                   ,0                   ,49                  ,0                   ,0                   ,0                   ,0                   ,24                  ,0                   ,252                 ,116                 ,0                   ,872                 ,0                   
P22314_UBA1         ,0.119874630044346   ,1874                ,0.0229215547738114  ,89                  ,628                 ,35                  ,469                 ,226                 ,195                 ,199                 ,33                  ,804                 ,12                  ,0                   ,11                  ,0                   ,0                   ,0                   ,49                  
Q32Q12_NME1_NME2    ,0.0654947407067766  ,4461                ,0.000785338146016317,2108                ,552                 ,802                 ,115                 ,503                 ,158                 ,111                 ,112                 ,6                   ,18                  ,0                   ,0                   ,0                   ,0                   ,47                  ,0                   
P22532_SPRR2D       ,0.256607297641712   ,645                 ,0.0747483018227935  ,68                  ,3                   ,3                   ,68                  ,46                  ,17                  ,63                  ,377                 ,0                   ,307                 ,0                   ,0                   ,0                   ,659                 ,0                   ,0                   
P22894_MMP8         ,0.418038377846709   ,236                 ,0.685443482677522   ,76                  ,0                   ,0                   ,13                  ,0                   ,0                   ,147                 ,0                   ,6                   ,116                 ,0                   ,0                   ,940                 ,0                   ,0                   ,75                  
P23280_CA6          ,0.0961292011405674  ,3212                ,0.00812040251063711 ,385                 ,109                 ,2234                ,51                  ,104                 ,309                 ,2                   ,18                  ,34                  ,42                  ,0                   ,22                  ,0                   ,0                   ,0                   ,2                   
P23284_PPIB         ,0.769405263856386   ,0                   ,0.0324742023051656  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,123                 ,1                   ,0                   ,204                 ,0                   ,102                 ,0                   
P23381_WARS         ,0.496052976378023   ,14                  ,0.407774760622591   ,0                   ,0                   ,8                   ,4                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1552                ,0                   
E9PK25_CFL1         ,0.488441646538063   ,8                   ,0.716004795504331   ,6                   ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,1                   ,6                   ,548                 ,0                   ,0                   ,0                   ,0                   ,0                   ,6                   
P24158_PRTN3        ,0.433439554460298   ,74                  ,0.0548448173636958  ,17                  ,5                   ,3                   ,34                  ,9                   ,0                   ,5                   ,1                   ,221                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4                   
P25311_AZGP1        ,0.172609131085819   ,952                 ,0.525551652813795   ,271                 ,0                   ,173                 ,44                  ,333                 ,12                  ,104                 ,15                  ,34                  ,0                   ,0                   ,82                  ,0                   ,2                   ,458                 ,629                 
P26038_MSN          ,0.324725326751468   ,798                 ,0.0122413863708279  ,274                 ,324                 ,33                  ,10                  ,56                  ,42                  ,15                  ,44                  ,3                   ,989                 ,0                   ,6                   ,0                   ,0                   ,0                   ,0                   
P28325_CST5         ,0.0439102120809981  ,6772                ,0.000553534765668591,713                 ,352                 ,1172                ,2593                ,660                 ,163                 ,224                 ,895                 ,36                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
P29401_2_TKT        ,0.208290472925579   ,377                 ,0.183232976928822   ,65                  ,0                   ,3                   ,211                 ,84                  ,0                   ,14                  ,0                   ,2115                ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0                   
P29508_SERPINB3     ,0.249761746835199   ,489                 ,0.0785934912071024  ,115                 ,18                  ,13                  ,75                  ,11                  ,230                 ,24                  ,3                   ,0                   ,0                   ,0                   ,459                 ,0                   ,145                 ,2                   ,0                   
P30044_PRDX5        ,0.699399875030425   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,982                 ,6                   ,0                   ,0                   ,0                   ,86                  ,0                   ,0                   
P30101_PDIA3        ,0.0844457876771837  ,3120                ,0.00085989691015073 ,275                 ,142                 ,556                 ,1154                ,509                 ,118                 ,102                 ,264                 ,36                  ,27                  ,0                   ,30                  ,19                  ,0                   ,0                   ,0                   
P30740_SERPINB1     ,0.0371913176660241  ,7300                ,0.00134828729093636 ,654                 ,286                 ,845                 ,528                 ,3136                ,836                 ,495                 ,520                 ,116                 ,0                   ,53                  ,154                 ,1                   ,0                   ,414                 ,7                   
P31025_LCN1         ,0.0375742459993306  ,8018                ,0.00505122393260325 ,2358                ,118                 ,376                 ,630                 ,1662                ,704                 ,1995                ,175                 ,2                   ,0                   ,63                  ,0                   ,0                   ,0                   ,721                 ,81                  
P31146_CORO1A       ,0.555773533386357   ,4                   ,0.488142933739699   ,4                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,15                  ,0                   ,0                   ,0                   ,5                   ,0                   ,0                   ,0                   
P31151_S100A7       ,0.340878094545068   ,174                 ,0.537248756159373   ,0                   ,0                   ,0                   ,2                   ,153                 ,9                   ,0                   ,10                  ,109                 ,0                   ,0                   ,0                   ,214                 ,0                   ,27                  ,2131                
P31946_YWHAB        ,0.189297596968359   ,300                 ,0.427478521950833   ,68                  ,58                  ,45                  ,65                  ,7                   ,5                   ,50                  ,2                   ,52                  ,0                   ,0                   ,190                 ,0                   ,0                   ,9                   ,106                 
P31947_SFN          ,0.192249925624301   ,1621                ,0.39976481558577    ,6                   ,0                   ,0                   ,28                  ,0                   ,50                  ,1511                ,26                  ,0                   ,254                 ,0                   ,0                   ,0                   ,6                   ,0                   ,37                  
P31949_S100A11      ,0.493504279101248   ,219                 ,0.717064276020794   ,0                   ,8                   ,0                   ,0                   ,174                 ,0                   ,37                  ,0                   ,1                   ,16                  ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   
P32119_PRDX2        ,0.0161413660381418  ,12802               ,0.000553534765668591,1910                ,1819                ,1476                ,962                 ,1094                ,1093                ,2711                ,1737                ,0                   ,0                   ,0                   ,0                   ,0                   ,46                  ,0                   ,0                   
P32926_DSG3         ,0.0943788624710451  ,2251                ,0.124998482350882   ,99                  ,15                  ,165                 ,467                 ,453                 ,68                  ,971                 ,13                  ,0                   ,0                   ,0                   ,1                   ,182                 ,204                 ,631                 ,0                   
P35321_SPRR1A       ,0.125428578124088   ,1672                ,0.0785934912071024  ,280                 ,46                  ,35                  ,647                 ,57                  ,133                 ,441                 ,33                  ,0                   ,185                 ,0                   ,0                   ,0                   ,0                   ,50                  ,450                 
P35579_MYH9         ,0.0133050359641808  ,14325               ,0.000681956324259307,1780                ,1492                ,1942                ,1562                ,3136                ,2831                ,636                 ,946                 ,394                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,114                 
P36952_SERPINB5     ,0.599851965610842   ,203                 ,0.324838612749129   ,0                   ,0                   ,0                   ,172                 ,0                   ,0                   ,0                   ,31                  ,0                   ,26                  ,3                   ,0                   ,2                   ,3                   ,0                   ,196                 
P37802_2_TAGLN2     ,0.198397065050844   ,949                 ,0.423998989616425   ,0                   ,47                  ,156                 ,1                   ,2                   ,16                  ,502                 ,225                 ,0                   ,10                  ,0                   ,0                   ,371                 ,265                 ,71                  ,0                   
P37837_TALDO1       ,0.607587238672734   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,135                 ,64                  ,0                   ,0                   ,47                  ,0                   ,0                   ,0                   
P40121_CAPG         ,0.910351829807892   ,0                   ,0.0764479298304189  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,89                  ,0                   ,16                  ,0                   ,0                   ,0                   ,0                   ,36                  
P43652_AFM          ,0.799294017551546   ,0                   ,0.170903520230797   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,70                  ,90                  ,0                   ,0                   
B1AK88_CAPZB        ,0.393989017509974   ,245                 ,0.261956201697046   ,82                  ,25                  ,71                  ,33                  ,34                  ,0                   ,0                   ,0                   ,248                 ,3                   ,0                   ,0                   ,0                   ,0                   ,0                   ,21                  
P50395_GDI2         ,0.460789236952277   ,444                 ,1                   ,16                  ,4                   ,0                   ,0                   ,424                 ,0                   ,0                   ,0                   ,55                  ,0                   ,0                   ,0                   ,0                   ,0                   ,224                 ,12                  
P52209_PGD          ,0.0156810910916492  ,14475               ,0.000852233712772263,1885                ,1936                ,3136                ,3136                ,873                 ,813                 ,1546                ,1150                ,500                 ,399                 ,0                   ,174                 ,0                   ,0                   ,18                  ,0                   
P52566_ARHGDIB      ,0.736095387794456   ,0                   ,0.0324742023051656  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,121                 ,114                 ,507                 ,0                   ,2                   ,0                   ,0                   ,0                   
P52907_CAPZA1       ,0.292794762749433   ,481                 ,0.5009042191737     ,36                  ,207                 ,0                   ,98                  ,113                 ,27                  ,0                   ,0                   ,205                 ,0                   ,5                   ,0                   ,0                   ,0                   ,0                   ,260                 
P55058_PLTP         ,0.578990027123316   ,61                  ,0.6533676621999     ,38                  ,0                   ,2                   ,0                   ,18                  ,0                   ,3                   ,0                   ,346                 ,0                   ,0                   ,2                   ,0                   ,0                   ,42                  ,58                  
P59665_DEFA1        ,0.982297444064825   ,0                   ,0.170903520230797   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,316                 ,0                   ,0                   ,0                   ,1                   ,0                   
